"xcut","id","experiment","site","year","field.year","timing.1cut","follow.cut","env","age","block","plot","trt.num","trt.code","treatment","date","gdd","precip","water","yield","yield.Mg","dry.matter","protein","ADF","NDF","NDFD48"
1,13,"FIG17","I2",2017,"first","grain","none","I2.2017",6,2,201,10,NA,"GN",2017-08-09,2281.39,692.658,47.21,4216.24,4.21624,95.79,1.48,37.71,70.42,54.53
2,13,"FIG17","I2",2017,"first","grain","none","I2.2017",6,2,201,10,NA,"GN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,13,"FIG17","I2",2017,"first","grain","none","I2.2017",6,2,201,10,NA,"GN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,14,"FIG17","I2",2017,"first","grain","september","I2.2017",6,2,202,11,NA,"GS",2017-08-09,2281.39,692.658,46.31,4109.4,4.1094,96.62,2.19,39.19,74.41,60.15
2,14,"FIG17","I2",2017,"first","grain","september","I2.2017",6,2,202,11,NA,"GS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,14,"FIG17","I2",2017,"first","grain","september","I2.2017",6,2,202,11,NA,"GS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,15,"FIG17","I2",2017,"first","grain","october","I2.2017",6,2,203,12,NA,"GO",2017-08-09,2281.39,692.658,45.74,5125.51,5.12551,96.85,2.31,41.33,72.95,55.98
2,15,"FIG17","I2",2017,"first","grain","october","I2.2017",6,2,203,12,NA,"GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,15,"FIG17","I2",2017,"first","grain","october","I2.2017",6,2,203,12,NA,"GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,16,"FIG17","I2",2017,"first","anthesis","none","I2.2017",6,2,204,4,"a1","AN",2017-06-21,1256.39,502.158,65.87,3376.99,3.37699,96.61,5.63,41.14,73.24,66.93
2,16,"FIG17","I2",2017,"first","anthesis","none","I2.2017",6,2,204,4,"a1","AN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,16,"FIG17","I2",2017,"first","anthesis","none","I2.2017",6,2,204,4,"a1","AN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,17,"FIG17","I2",2017,"first","anthesis","september","I2.2017",6,2,205,5,"a2","AS",2017-06-21,1256.39,502.158,65.31,3654.93,3.65493,96.46,4.33,41.02,73.65,68.42
2,17,"FIG17","I2",2017,"first","anthesis","september","I2.2017",6,2,205,5,"a2","AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,17,"FIG17","I2",2017,"first","anthesis","september","I2.2017",6,2,205,5,"a2","AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,18,"FIG17","I2",2017,"first","anthesis","october","I2.2017",6,2,206,6,"a3","AO",2017-06-21,1256.39,502.158,65.97,4720.15,4.72015,96.59,5.59,41.12,73.59,71
2,18,"FIG17","I2",2017,"first","anthesis","october","I2.2017",6,2,206,6,"a3","AO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,18,"FIG17","I2",2017,"first","anthesis","october","I2.2017",6,2,206,6,"a3","AO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,19,"FIG17","I2",2017,"first","boot","october","I2.2017",6,2,207,3,"b3","BO",2017-06-08,969.72,436.372,41.02,5577.3,5.5773,94.3,6.96,37.98,66.44,68.08
2,19,"FIG17","I2",2017,"first","boot","october","I2.2017",6,2,207,3,"b3","BO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,19,"FIG17","I2",2017,"first","boot","october","I2.2017",6,2,207,3,"b3","BO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,20,"FIG17","I2",2017,"first","boot","september","I2.2017",6,2,208,2,"b2","BS",2017-06-08,969.72,436.372,50,4943.15,4.94315,94.41,6.67,38.08,68.88,66.77
2,20,"FIG17","I2",2017,"first","boot","september","I2.2017",6,2,208,2,"b2","BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,20,"FIG17","I2",2017,"first","boot","september","I2.2017",6,2,208,2,"b2","BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,21,"FIG17","I2",2017,"first","boot","none","I2.2017",6,2,209,1,"b1","BN",2017-06-08,969.72,436.372,50.75,7443.98,7.44398,94.73,8,39.62,70.82,67.95
2,21,"FIG17","I2",2017,"first","boot","none","I2.2017",6,2,209,1,"b1","BN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,21,"FIG17","I2",2017,"first","boot","none","I2.2017",6,2,209,1,"b1","BN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,22,"FIG17","I2",2017,"first","dough","september","I2.2017",6,2,210,8,"d2","DS",2017-07-17,1788.06,543.306,47.29,4276.83,4.27683,96.3,2.44,37.89,71.94,66.22
2,22,"FIG17","I2",2017,"first","dough","september","I2.2017",6,2,210,8,"d2","DS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,22,"FIG17","I2",2017,"first","dough","september","I2.2017",6,2,210,8,"d2","DS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,23,"FIG17","I2",2017,"first","dough","none","I2.2017",6,2,211,7,"d1","DN",2017-07-17,1788.06,543.306,46.09,4120.49,4.12049,96.78,2.22,34.86,70.39,74.41
2,23,"FIG17","I2",2017,"first","dough","none","I2.2017",6,2,211,7,"d1","DN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,23,"FIG17","I2",2017,"first","dough","none","I2.2017",6,2,211,7,"d1","DN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,24,"FIG17","I2",2017,"first","dough","october","I2.2017",6,2,212,9,"d3","DO",2017-07-17,1788.06,543.306,45.11,4419.36,4.41936,97.76,1.54,35.14,71.37,75.3
2,24,"FIG17","I2",2017,"first","dough","october","I2.2017",6,2,212,9,"d3","DO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,24,"FIG17","I2",2017,"first","dough","october","I2.2017",6,2,212,9,"d3","DO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,25,"FIG17","I2",2017,"first","anthesis","october","I2.2017",6,3,301,6,"a3","AO",2017-06-21,1256.39,502.158,70.07,3138.93,3.13893,96.53,5.87,40.39,75.4,71.43
2,25,"FIG17","I2",2017,"first","anthesis","october","I2.2017",6,3,301,6,"a3","AO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,25,"FIG17","I2",2017,"first","anthesis","october","I2.2017",6,3,301,6,"a3","AO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,26,"FIG17","I2",2017,"first","anthesis","september","I2.2017",6,3,302,5,"a2","AS",2017-06-21,1256.39,502.158,65.99,3353.01,3.35301,96.66,4.26,41.78,76.48,69.85
2,26,"FIG17","I2",2017,"first","anthesis","september","I2.2017",6,3,302,5,"a2","AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,26,"FIG17","I2",2017,"first","anthesis","september","I2.2017",6,3,302,5,"a2","AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,27,"FIG17","I2",2017,"first","anthesis","none","I2.2017",6,3,303,4,"a1","AN",2017-06-21,1256.39,502.158,65.49,3922.75,3.92275,97.08,3.88,40.19,76.76,76.81
2,27,"FIG17","I2",2017,"first","anthesis","none","I2.2017",6,3,303,4,"a1","AN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,27,"FIG17","I2",2017,"first","anthesis","none","I2.2017",6,3,303,4,"a1","AN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,28,"FIG17","I2",2017,"first","grain","none","I2.2017",6,3,304,10,NA,"GN",2017-08-09,2281.39,692.658,45.67,4498.18,4.49818,96.25,2.63,40.04,73.1,47.73
2,28,"FIG17","I2",2017,"first","grain","none","I2.2017",6,3,304,10,NA,"GN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,28,"FIG17","I2",2017,"first","grain","none","I2.2017",6,3,304,10,NA,"GN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,29,"FIG17","I2",2017,"first","grain","september","I2.2017",6,3,305,11,NA,"GS",2017-08-09,2281.39,692.658,47.17,4555.07,4.55507,97.4,1.52,39.68,75.85,55.26
2,29,"FIG17","I2",2017,"first","grain","september","I2.2017",6,3,305,11,NA,"GS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,29,"FIG17","I2",2017,"first","grain","september","I2.2017",6,3,305,11,NA,"GS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,30,"FIG17","I2",2017,"first","grain","october","I2.2017",6,3,306,12,NA,"GO",2017-08-09,2281.39,692.658,45.86,4776.89,4.77689,95.11,1.87,37.99,68.43,51.51
2,30,"FIG17","I2",2017,"first","grain","october","I2.2017",6,3,306,12,NA,"GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,30,"FIG17","I2",2017,"first","grain","october","I2.2017",6,3,306,12,NA,"GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,31,"FIG17","I2",2017,"first","boot","september","I2.2017",6,3,307,2,"b2","BS",2017-06-08,969.72,436.372,45.85,6687.27,6.68727,95.04,5.92,39.5,70.95,73.84
2,31,"FIG17","I2",2017,"first","boot","september","I2.2017",6,3,307,2,"b2","BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,31,"FIG17","I2",2017,"first","boot","september","I2.2017",6,3,307,2,"b2","BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,32,"FIG17","I2",2017,"first","boot","october","I2.2017",6,3,308,3,"b3","BO",2017-06-08,969.72,436.372,41.81,4990.12,4.99012,94.02,6.58,36.34,66.08,68.99
2,32,"FIG17","I2",2017,"first","boot","october","I2.2017",6,3,308,3,"b3","BO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,32,"FIG17","I2",2017,"first","boot","october","I2.2017",6,3,308,3,"b3","BO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,33,"FIG17","I2",2017,"first","boot","none","I2.2017",6,3,309,1,"b1","BN",2017-06-08,969.72,436.372,51.68,5786.46,5.78646,95.16,6.24,40.08,72.53,71.73
2,33,"FIG17","I2",2017,"first","boot","none","I2.2017",6,3,309,1,"b1","BN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,33,"FIG17","I2",2017,"first","boot","none","I2.2017",6,3,309,1,"b1","BN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,34,"FIG17","I2",2017,"first","dough","none","I2.2017",6,3,310,7,"d1","DN",2017-07-17,1788.06,543.306,46.32,5321.83,5.32183,97.07,0.5,36,68.85,72.5
2,34,"FIG17","I2",2017,"first","dough","none","I2.2017",6,3,310,7,"d1","DN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,34,"FIG17","I2",2017,"first","dough","none","I2.2017",6,3,310,7,"d1","DN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,35,"FIG17","I2",2017,"first","dough","october","I2.2017",6,3,311,9,"d3","DO",2017-07-17,1788.06,543.306,48.14,4104.61,4.10461,97.95,1.59,35.22,71.7,76.07
2,35,"FIG17","I2",2017,"first","dough","october","I2.2017",6,3,311,9,"d3","DO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,35,"FIG17","I2",2017,"first","dough","october","I2.2017",6,3,311,9,"d3","DO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,36,"FIG17","I2",2017,"first","dough","september","I2.2017",6,3,312,8,"d2","DS",2017-07-17,1788.06,543.306,44.52,4482.54,4.48254,97.64,2.06,37.73,77.43,74.82
2,36,"FIG17","I2",2017,"first","dough","september","I2.2017",6,3,312,8,"d2","DS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,36,"FIG17","I2",2017,"first","dough","september","I2.2017",6,3,312,8,"d2","DS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,37,"FIG17","I2",2017,"first","dough","october","I2.2017",6,4,401,9,"d3","DO",2017-07-17,1788.06,543.306,44.54,5057.31,5.05731,97.43,1.7,38.69,74.56,76.37
2,37,"FIG17","I2",2017,"first","dough","october","I2.2017",6,4,401,9,"d3","DO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
