"id","experiment","site","year","field.year","timing.1cut","follow.cut","env","age","block","plot","trt.code","treatment","date.1cut","date.2cut","date.3cut","gdd.1cut","precip.1cut","water.1cut","yield.1cut","dry.matter.1cut","protein.1cut","ADF.1cut","NDF.1cut","NDFD48.1cut","gdd.2cut","precip.2cut","water.2cut","yield.2cut","dry.matter.2cut","protein.2cut","ADF.2cut","NDF.2cut","NDFD48.2cut","gdd.3cut","precip.3cut","water.3cut","yield.3cut","dry.matter.3cut","protein.3cut","ADF.3cut","NDF.3cut","NDFD48.3cut","gdd.extra","precip.extra","end.of.year"
100,"FIG18","R100",2019,"second","anthesis","september","R100.2019",3,1,104,5,"AS",2019-07-05,2019-09-23,NA,1330.28,639.318,NA,7769.27,94,5,47.2,77.4,45.2,1629.17,378.21,NA,1088.81,95.03,11.07,36.13,68.99,34.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,386.67,266.19,2019-12-31
101,"FIG18","R100",2019,"second","anthesis","none","R100.2019",3,1,105,4,"AN",2019-07-05,NA,NA,1330.28,639.318,NA,7636.61,94,4.6,49.6,79.3,48.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015.83,644.4,2019-12-31
102,"FIG18","R100",2019,"second","anthesis","october","R100.2019",3,1,106,6,"AO",2019-07-05,2019-09-23,2019-10-28,1330.28,639.318,NA,3570.07,95,3.8,46.9,80.1,47.8,1629.17,378.21,NA,1398.99,96.32,5.34,45.96,81.27,46.51,328.61,150.62,NA,512.7,96.15,7.73,33.8,64.8,34.47,58.06,115.57,2019-12-31
103,"FIG18","R100",2019,"second","grain","october","R100.2019",3,1,107,12,"GO",2019-08-16,2019-09-23,2019-10-28,2262.5,810.514,NA,NA,94.7,2.51,54.25,86.1,57.68,696.94,207.01,NA,NA,95.88,16.05,34.75,63.1,27.07,328.61,150.62,NA,NA,94.81,16.05,34.75,63.1,27.07,58.06,115.57,2019-12-31
104,"FIG18","R100",2019,"second","grain","september","R100.2019",3,1,108,11,"GS",2019-08-16,2019-09-23,NA,2262.5,810.514,NA,NA,95.74,2.55,54.41,87.33,57.38,696.94,207.01,NA,NA,94.97,15.52,33.33,60.56,27.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,386.67,266.19,2019-12-31
105,"FIG18","R100",2019,"second","grain","none","R100.2019",3,1,109,10,"GN",2019-08-16,NA,NA,2262.5,810.514,NA,NA,95.24,1.69,55.79,87.56,58.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1083.61,473.2,2019-12-31
106,"FIG18","R100",2019,"second","dough","none","R100.2019",3,1,110,7,"DN",2019-07-25,NA,NA,1791.11,767.842,NA,4728.75,92.88,4.47,49.76,78.72,52.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1555,515.87,2019-12-31
107,"FIG18","R100",2019,"second","dough","october","R100.2019",3,1,111,9,"DO",2019-07-25,2019-09-23,2019-10-28,1791.11,767.842,NA,401.59,93.43,5.05,47.06,75.99,46.03,1168.33,249.68,NA,687.65,94.95,12.41,37.74,68.81,31.79,328.61,150.62,NA,248.33,96.39,6.29,37.4,70.95,39.04,58.06,115.57,2019-12-31
108,"FIG18","R100",2019,"second","dough","september","R100.2019",3,1,112,8,"DS",2019-07-25,2019-09-23,NA,1791.11,767.842,NA,4681.51,93.4,4.32,43.75,69.94,44.26,1168.33,249.68,NA,593.8,94.3,13.36,35.62,64.6,30.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,386.67,266.19,2019-12-31
109,"FIG18","R100",2019,"second","grain","none","R100.2019",3,2,201,10,"GN",2019-08-16,NA,NA,2262.5,810.514,NA,NA,94.35,1.85,53.04,84.14,57.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1083.61,473.2,2019-12-31
110,"FIG18","R100",2019,"second","grain","september","R100.2019",3,2,202,11,"GS",2019-08-16,2019-09-23,NA,2262.5,810.514,NA,NA,94.81,2.99,52.29,84.9,56.69,696.94,207.01,NA,NA,94.73,19.69,29.66,55.66,19.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,386.67,266.19,2019-12-31
111,"FIG18","R100",2019,"second","grain","october","R100.2019",3,2,203,12,"GO",2019-08-16,2019-09-23,2019-10-28,2262.5,810.514,NA,NA,93.85,2.78,47.73,76.25,49.39,696.94,207.01,NA,NA,95.88,17.9,33.29,61.1,26.19,328.61,150.62,NA,NA,97.58,4.73,41.52,76.93,45.38,58.06,115.57,2019-12-31
112,"FIG18","R100",2019,"second","anthesis","none","R100.2019",3,2,204,4,"AN",2019-07-05,NA,NA,1330.28,639.318,NA,5626.14,93,8.8,45.4,72.8,40.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015.83,644.4,2019-12-31
113,"FIG18","R100",2019,"second","anthesis","september","R100.2019",3,2,205,5,"AS",2019-07-05,2019-09-23,NA,1330.28,639.318,NA,6805.06,93,7.5,44,70.7,39.9,1629.17,378.21,NA,1276.03,94.4,8.68,40.02,72.81,39.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,386.67,266.19,2019-12-31
114,"FIG18","R100",2019,"second","anthesis","october","R100.2019",3,2,206,6,"AO",2019-07-05,2019-09-23,2019-10-28,1330.28,639.318,NA,9567.48,93,6.1,45.6,74.7,43.3,1629.17,378.21,NA,830.73,95.25,9.48,38.22,70.87,37.07,328.61,150.62,NA,527.85,96.09,5.34,39.99,70.7,41.88,58.06,115.57,2019-12-31
115,"FIG18","R100",2019,"second","boot","october","R100.2019",3,2,207,3,"BO",2019-06-10,2019-09-23,2019-10-28,821.94,520.192,NA,2716.53,92.96,15.2,34.35,56.88,22.58,2137.5,497.33,NA,3158.26,94.87,6.5,40.25,70.4,43.74,328.61,150.62,NA,1169.21,95.46,5.4,32.12,64.53,36.79,58.06,115.57,2019-12-31
116,"FIG18","R100",2019,"second","boot","september","R100.2019",3,2,208,2,"BS",2019-06-10,2019-09-23,NA,821.94,520.192,NA,2778.93,92.81,13.2,35.87,60.11,26.5,2137.5,497.33,NA,2280.5,94.36,4.98,42.4,74.39,48.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,386.67,266.19,2019-12-31
117,"FIG18","R100",2019,"second","boot","none","R100.2019",3,2,209,1,"BN",2019-06-10,NA,NA,821.94,520.192,NA,2354.43,92.31,11.56,37.5,62.04,30.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2524.17,763.52,2019-12-31
118,"FIG18","R100",2019,"second","dough","september","R100.2019",3,2,210,8,"DS",2019-07-25,2019-09-23,NA,1791.11,767.842,NA,4456.27,94.2,4.54,48.65,77.38,46.56,1168.33,249.68,NA,1342.4,94.61,11.03,40.06,71.56,37.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,386.67,266.19,2019-12-31
119,"FIG18","R100",2019,"second","dough","none","R100.2019",3,2,211,7,"DN",2019-07-25,NA,NA,1791.11,767.842,NA,3830.65,93.48,3.31,46.05,75.66,48.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1555,515.87,2019-12-31
120,"FIG18","R100",2019,"second","dough","october","R100.2019",3,2,212,9,"DO",2019-07-25,2019-09-23,2019-10-28,1791.11,767.842,NA,3539.19,93.59,4.58,42.96,70.29,42.68,1168.33,249.68,NA,466.8,95.3,11.16,41.43,73.32,40.5,328.61,150.62,NA,1509.11,96.63,4.31,36.46,70.89,43.94,58.06,115.57,2019-12-31
121,"FIG18","R100",2019,"second","anthesis","october","R100.2019",3,3,301,6,"AO",2019-07-05,2019-09-23,2019-10-28,1330.28,639.318,NA,6366.68,94,7.6,44,70.8,41,1629.17,378.21,NA,1147.45,94.96,10.59,36.35,66.65,32.25,328.61,150.62,NA,623.93,94.8,7.23,29.35,60.93,33.9,58.06,115.57,2019-12-31
122,"FIG18","R100",2019,"second","anthesis","september","R100.2019",3,3,302,5,"AS",2019-07-05,2019-09-23,NA,1330.28,639.318,NA,5204.69,94,6.3,46,73.5,44,1629.17,378.21,NA,1003.31,95.53,7.81,42.72,74.75,42.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,386.67,266.19,2019-12-31
123,"FIG18","R100",2019,"second","anthesis","none","R100.2019",3,3,303,4,"AN",2019-07-05,NA,NA,1330.28,639.318,NA,5408.32,94,5.8,47,76,44.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015.83,644.4,2019-12-31
124,"FIG18","R100",2019,"second","grain","none","R100.2019",3,3,304,10,"GN",2019-08-16,NA,NA,2262.5,810.514,NA,NA,95.01,3.05,52.16,84.15,55.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1083.61,473.2,2019-12-31
125,"FIG18","R100",2019,"second","grain","september","R100.2019",3,3,305,11,"GS",2019-08-16,2019-09-23,NA,2262.5,810.514,NA,NA,92.85,3.11,43.3,71.6,46.48,696.94,207.01,NA,NA,95.45,17.21,33.48,59.79,25.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,386.67,266.19,2019-12-31
126,"FIG18","R100",2019,"second","grain","october","R100.2019",3,3,306,12,"GO",2019-08-16,2019-09-23,2019-10-28,2262.5,810.514,NA,NA,93.74,2.87,47.39,76.6,49.1,696.94,207.01,NA,NA,95.03,17.79,36.23,61.25,28,328.61,150.62,NA,NA,96.99,10.1,34.48,62.29,37.16,58.06,115.57,2019-12-31
127,"FIG18","R100",2019,"second","boot","september","R100.2019",3,3,307,2,"BS",2019-06-10,2019-09-23,NA,821.94,520.192,NA,2989.45,92.94,12.36,36.41,61.2,26.99,2137.5,497.33,NA,2619.5,95.42,8.11,40.41,72.01,41.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,386.67,266.19,2019-12-31
128,"FIG18","R100",2019,"second","boot","october","R100.2019",3,3,308,3,"BO",2019-06-10,2019-09-23,2019-10-28,821.94,520.192,NA,2558.23,92.73,12.08,36.06,59.98,27.17,2137.5,497.33,NA,1722.21,94.89,8.02,41.46,72.79,42.11,328.61,150.62,NA,305.27,94.8,8.69,32.23,58,30.68,58.06,115.57,2019-12-31
129,"FIG18","R100",2019,"second","boot","none","R100.2019",3,3,309,1,"BN",2019-06-10,NA,NA,821.94,520.192,NA,2944.68,91.84,10.9,38.78,63.96,30.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2524.17,763.52,2019-12-31
130,"FIG18","R100",2019,"second","dough","none","R100.2019",3,3,310,7,"DN",2019-07-25,NA,NA,1791.11,767.842,NA,4830.69,93.77,4.77,44.51,71.59,45.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1555,515.87,2019-12-31
131,"FIG18","R100",2019,"second","dough","october","R100.2019",3,3,311,9,"DO",2019-07-25,2019-09-23,2019-10-28,1791.11,767.842,NA,4782.7,94.31,4.57,41.58,69.6,39.5,1168.33,249.68,NA,747.62,95.27,11,39.18,70.74,37.12,328.61,150.62,NA,373.51,95.87,6,33.8,69.25,37.56,58.06,115.57,2019-12-31
132,"FIG18","R100",2019,"second","dough","september","R100.2019",3,3,312,8,"DS",2019-07-25,2019-09-23,NA,1791.11,767.842,NA,4165.75,92.75,3.97,42.63,70.43,44.62,1168.33,249.68,NA,563.13,94.75,13.77,34.95,64.08,31.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,386.67,266.19,2019-12-31
133,"FIG18","R100",2019,"second","dough","october","R100.2019",3,4,401,9,"DO",2019-07-25,2019-09-23,2019-10-28,1791.11,767.842,NA,5307.12,92.98,4.61,50.77,80.55,49.64,1168.33,249.68,NA,1024.38,94.4,12.73,34.85,63.81,30.68,328.61,150.62,NA,575.28,94.54,6.98,29.35,59.53,30.71,58.06,115.57,2019-12-31
134,"FIG18","R100",2019,"second","dough","september","R100.2019",3,4,402,8,"DS",2019-07-25,2019-09-23,NA,1791.11,767.842,NA,4570.53,93.64,5.27,46.44,73.89,44.51,1168.33,249.68,NA,725.56,94.97,12.47,37.6,67.45,32.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,386.67,266.19,2019-12-31
135,"FIG18","R100",2019,"second","dough","none","R100.2019",3,4,403,7,"DN",2019-07-25,NA,NA,1791.11,767.842,NA,4559.01,91.79,4.97,43.25,71.02,46.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1555,515.87,2019-12-31
136,"FIG18","R100",2019,"second","anthesis","none","R100.2019",3,4,404,4,"AN",2019-07-05,NA,NA,1330.28,639.318,NA,7387.86,93,6.8,42.3,69.6,41.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015.83,644.4,2019-12-31
137,"FIG18","R100",2019,"second","anthesis","october","R100.2019",3,4,405,6,"AO",2019-07-05,2019-09-23,2019-10-28,1330.28,639.318,NA,8722.54,93,6.9,43.8,70,40.8,1629.17,378.21,NA,870.7,95.07,9.81,41.37,72.59,41.71,328.61,150.62,NA,792.21,95.41,6.49,32.56,65.35,34.66,58.06,115.57,2019-12-31
138,"FIG18","R100",2019,"second","anthesis","september","R100.2019",3,4,406,5,"AS",2019-07-05,2019-09-23,NA,1330.28,639.318,NA,11036.63,93,5.9,46.3,74.3,46.2,1629.17,378.21,NA,942.2,95.38,10.47,38.19,70.89,36.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,386.67,266.19,2019-12-31
139,"FIG18","R100",2019,"second","boot","none","R100.2019",3,4,407,1,"BN",2019-06-10,NA,NA,821.94,520.192,NA,3603.45,92.31,12.5,37.18,60.88,27.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2524.17,763.52,2019-12-31
140,"FIG18","R100",2019,"second","boot","september","R100.2019",3,4,408,2,"BS",2019-06-10,2019-09-23,NA,821.94,520.192,NA,3057.14,92.49,11.53,36.87,62.51,28.45,2137.5,497.33,NA,1615.79,94.14,6.25,40.54,72.18,44.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,386.67,266.19,2019-12-31
141,"FIG18","R100",2019,"second","boot","october","R100.2019",3,4,409,3,"BO",2019-06-10,2019-09-23,2019-10-28,821.94,520.192,NA,2993.59,92.47,11.37,37.05,61.28,29.14,2137.5,497.33,NA,2003.9,95.17,6.55,39.16,70.62,45.71,328.61,150.62,NA,289.85,96.86,4.72,37.64,68.98,42.36,58.06,115.57,2019-12-31
142,"FIG18","R100",2019,"second","grain","none","R100.2019",3,4,410,10,"GN",2019-08-16,NA,NA,2262.5,810.514,NA,NA,94.95,2.26,53.7,82.48,58.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1083.61,473.2,2019-12-31
143,"FIG18","R100",2019,"second","grain","october","R100.2019",3,4,411,12,"GO",2019-08-16,2019-09-23,2019-10-28,2262.5,810.514,NA,NA,94.34,2.14,52.06,82.94,55.91,696.94,207.01,NA,NA,94.55,15.58,33,60.53,27.45,328.61,150.62,NA,NA,94.05,12.58,27.36,52.79,22.04,58.06,115.57,2019-12-31
144,"FIG18","R100",2019,"second","grain","september","R100.2019",3,4,412,11,"GS",2019-08-16,2019-09-23,NA,2262.5,810.514,NA,NA,94.58,2.68,50.98,81.34,55.06,696.94,207.01,NA,NA,93.83,1.55,7.73,4.95,51.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,386.67,266.19,2019-12-31
145,"FIG17","R70",2017,"first","boot","september","R70.2017",2,1,101,2,"BS",2017-06-08,2017-09-15,NA,969.72,436.372,51.95,1738.97,93.79,6.68,40.16,70.25,65.43,1991.39,376.94,57.4,132.97,96.2,6.94,36,68.29,63.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,670.28,203.96,2017-12-31
146,"FIG17","R70",2017,"first","boot","none","R70.2017",2,1,102,1,"BN",2017-06-08,NA,NA,969.72,436.372,49.68,3703.37,94.05,7.58,38.65,67.45,65.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2661.67,580.9,2017-12-31
147,"FIG17","R70",2017,"first","boot","october","R70.2017",2,1,103,3,"BO",2017-06-08,2017-09-15,2017-11-01,969.72,436.372,36,2359.37,93.31,6.96,38.48,64.86,61.68,1991.39,376.94,58.41,160.78,96.01,6.16,35.39,68.42,65.3,569.44,186.94,72.09,120.64,98.3,4.14,40.44,75.82,74.78,100.83,17.02,2017-12-31
148,"FIG17","R70",2017,"first","anthesis","september","R70.2017",2,1,104,5,"AS",2017-06-21,2017-09-15,NA,1256.39,502.158,70.33,2706.22,96.56,5.87,41.18,75.02,69.81,1704.72,311.15,63.59,237.92,97.52,7.74,38.34,71.28,64.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,670.28,203.96,2017-12-31
149,"FIG17","R70",2017,"first","anthesis","none","R70.2017",2,1,105,4,"AN",2017-06-21,NA,NA,1256.39,502.158,71.97,2476.71,95.57,5.37,42.74,75.31,68.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2375,515.11,2017-12-31
150,"FIG17","R70",2017,"first","anthesis","october","R70.2017",2,1,106,6,"AO",2017-06-21,2017-09-15,2017-11-01,1256.39,502.158,69.86,2486.05,96.01,5.11,40.84,75.25,62.5,1704.72,311.15,65.34,156.07,97.06,10.23,34.64,67.4,72.21,569.44,186.94,70.43,76.69,97.06,4.84,35.16,67.4,79.65,100.83,17.02,2017-12-31
151,"FIG17","R70",2017,"first","grain","october","R70.2017",2,1,107,12,"GO",2017-08-11,2017-09-15,2017-11-01,2316.39,706.374,53.25,3087.68,94.57,2.44,36.82,66.06,41.52,644.72,106.93,66.08,73.33,96.93,13.24,33.23,64.95,77.09,569.44,186.94,81.88,50.68,96.83,6.55,37.83,68.32,61.06,100.83,17.02,2017-12-31
152,"FIG17","R70",2017,"first","grain","september","R70.2017",2,1,108,11,"GS",2017-08-11,2017-09-15,NA,2316.39,706.374,51.1,2934.57,93.84,2.9,35.16,62.94,46.44,644.72,106.93,57.58,129.16,97.8,11.82,37.12,67.79,73.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,670.28,203.96,2017-12-31
153,"FIG17","R70",2017,"first","grain","none","R70.2017",2,1,109,10,"GN",2017-08-11,NA,NA,2316.39,706.374,51.13,2674.01,94.11,2.1,35.75,65.9,44.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1315,310.9,2017-12-31
154,"FIG17","R70",2017,"first","dough","none","R70.2017",2,1,110,7,"DN",2017-07-17,NA,NA,1788.06,543.306,53.52,2793.21,95.59,2.35,37.28,69.7,63.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1843.33,473.96,2017-12-31
155,"FIG17","R70",2017,"first","dough","october","R70.2017",2,1,111,9,"DO",2017-07-17,2017-09-15,2017-11-01,1788.06,543.306,55.62,2836.39,94.95,3,36.61,68.53,59.01,1173.06,270,57.18,179.17,98.7,9.48,38.94,73.4,72.65,569.44,186.94,66.37,147.1,95.9,5.11,39.19,66.86,69.61,100.83,17.02,2017-12-31
156,"FIG17","R70",2017,"first","dough","september","R70.2017",2,1,112,8,"DS",2017-07-17,2017-09-15,NA,1788.06,543.306,52.98,2541.04,95.34,3.44,34.92,67.58,63.59,1173.06,270,60.25,171.32,98.73,10.25,36.9,71.28,72.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,670.28,203.96,2017-12-31
157,"FIG17","R70",2017,"first","grain","none","R70.2017",2,2,201,10,"GN",2017-08-11,NA,NA,2316.39,706.374,52.89,2304.69,94.45,3.45,35.99,67.09,49.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1315,310.9,2017-12-31
158,"FIG17","R70",2017,"first","grain","september","R70.2017",2,2,202,11,"GS",2017-08-11,2017-09-15,NA,2316.39,706.374,50.81,3098.95,94.89,3.21,38.88,67.89,48.74,644.72,106.93,61.47,121.31,98.22,11.73,37.29,70.93,71.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,670.28,203.96,2017-12-31
159,"FIG17","R70",2017,"first","grain","october","R70.2017",2,2,203,12,"GO",2017-08-11,2017-09-15,2017-11-01,2316.39,706.374,51.69,2616.12,95.04,3.23,38.29,68.6,51.93,644.72,106.93,63.37,108.08,97.09,8.25,38.89,69.85,65.6,569.44,186.94,53.89,82.07,96.02,4.74,41.2,69.33,74.78,100.83,17.02,2017-12-31
160,"FIG17","R70",2017,"first","anthesis","none","R70.2017",2,2,204,4,"AN",2017-06-21,NA,NA,1256.39,502.158,69.08,1865.1,95.49,5.16,40.99,74.34,65.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2375,515.11,2017-12-31
161,"FIG17","R70",2017,"first","anthesis","september","R70.2017",2,2,205,5,"AS",2017-06-21,2017-09-15,NA,1256.39,502.158,70.43,2304.85,95.82,4.45,43.13,75.57,64.71,1704.72,311.15,63.18,265.5,96.82,12.37,33.52,66.95,77.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,670.28,203.96,2017-12-31
162,"FIG17","R70",2017,"first","anthesis","october","R70.2017",2,2,206,6,"AO",2017-06-21,2017-09-15,2017-11-01,1256.39,502.158,69.41,2675.05,95.72,5.5,40.07,73.71,65.69,1704.72,311.15,64.4,189.03,96.31,12.05,33.15,65.26,78.09,569.44,186.94,62.4,101.36,96.48,7.73,30.56,59.77,76.94,100.83,17.02,2017-12-31
163,"FIG17","R70",2017,"first","boot","october","R70.2017",2,2,207,3,"BO",2017-06-08,2017-09-15,2017-11-01,969.72,436.372,44.05,3033.81,93.55,6.33,38.69,67.02,64.19,1991.39,376.94,58.32,198.9,96.31,6.79,31.32,64.3,65.91,569.44,186.94,77.77,80.28,97.42,5.68,35.17,67.18,67.76,100.83,17.02,2017-12-31
164,"FIG17","R70",2017,"first","boot","september","R70.2017",2,2,208,2,"BS",2017-06-08,2017-09-15,NA,969.72,436.372,39.72,4393.12,93.17,6.76,38.56,66.4,62.9,NA,376.94,NA,NA,95.67,7.43,34.97,68.88,68.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,670.28,203.96,2017-12-31
165,"FIG17","R70",2017,"first","boot","none","R70.2017",2,2,209,1,"BN",2017-06-08,NA,NA,969.72,436.372,24.36,4769.65,92.62,7.19,38.64,65.8,60.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2661.67,580.9,2017-12-31
166,"FIG17","R70",2017,"first","dough","september","R70.2017",2,2,210,8,"DS",2017-07-17,2017-09-15,NA,1788.06,543.306,50.83,2877.7,96.31,2.01,35.74,68.94,65.46,1173.06,270,55.37,117.5,97.37,8.16,37.4,72.54,63.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,670.28,203.96,2017-12-31
167,"FIG17","R70",2017,"first","dough","none","R70.2017",2,2,211,7,"DN",2017-07-17,NA,NA,1788.06,543.306,53,3014.24,94.89,3.02,35.84,65.71,58.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1843.33,473.96,2017-12-31
168,"FIG17","R70",2017,"first","dough","october","R70.2017",2,2,212,9,"DO",2017-07-17,2017-09-15,2017-11-01,1788.06,543.306,53.09,4134.16,95.91,3.46,34.97,67.03,66.35,1173.06,270,63.26,203.16,98.23,8.24,37.28,71.73,74.65,569.44,186.94,64.95,163.25,96.37,6.81,32.63,62.15,73.28,100.83,17.02,2017-12-31
169,"FIG17","R70",2017,"first","anthesis","october","R70.2017",2,3,301,6,"AO",2017-06-21,2017-09-15,2017-11-01,1256.39,502.158,68.18,3523.22,95.09,5.09,44.27,73.94,56.9,1704.72,311.15,64.92,121.76,97.68,12.56,33.55,65.3,83.01,569.44,186.94,67.64,189.26,95.7,9.71,30.9,60.01,70.09,100.83,17.02,2017-12-31
170,"FIG17","R70",2017,"first","anthesis","september","R70.2017",2,3,302,5,"AS",2017-06-21,2017-09-15,NA,1256.39,502.158,69.57,1943.67,95.29,5.74,39.84,72.13,57.9,1704.72,311.15,60.64,185.9,97.4,9.46,39.26,69.17,64.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,670.28,203.96,2017-12-31
171,"FIG17","R70",2017,"first","anthesis","none","R70.2017",2,3,303,4,"AN",2017-06-21,NA,NA,1256.39,502.158,69.25,2373.52,96.27,5.74,39.88,73.83,69.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2375,515.11,2017-12-31
172,"FIG17","R70",2017,"first","grain","none","R70.2017",2,3,304,10,"GN",2017-08-11,NA,NA,2316.39,706.374,50,3503.87,94.53,0.89,35.92,65.86,42.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1315,310.9,2017-12-31
173,"FIG17","R70",2017,"first","grain","september","R70.2017",2,3,305,11,"GS",2017-08-11,2017-09-15,NA,2316.39,706.374,51.74,2194.17,94.79,3.93,35.23,64.18,52.88,644.72,106.93,66.11,178.27,98.31,9.9,35.61,69.94,78.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,670.28,203.96,2017-12-31
174,"FIG17","R70",2017,"first","grain","october","R70.2017",2,3,306,12,"GO",2017-08-11,2017-09-15,2017-11-01,2316.39,706.374,51.19,3235.77,95.21,3.11,37.26,66.97,53.49,644.72,106.93,66.85,166.39,98.93,8.39,41.02,78.72,75.59,569.44,186.94,67.43,124.23,96.53,5.63,37.1,68.07,70.83,100.83,17.02,2017-12-31
175,"FIG17","R70",2017,"first","boot","september","R70.2017",2,3,307,2,"BS",2017-06-08,2017-09-15,NA,969.72,436.372,44.4,4261.25,93.83,5.95,38.73,68.32,61.23,1991.39,376.94,53.43,146.2,97.32,6.29,33.61,68.75,75.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,670.28,203.96,2017-12-31
176,"FIG17","R70",2017,"first","boot","october","R70.2017",2,3,308,3,"BO",2017-06-08,2017-09-15,2017-11-01,969.72,436.372,46.74,1316.04,94.16,7.36,37.09,65.6,72.53,1991.39,376.94,67.24,276.49,96.84,7.78,37.46,73.92,82.89,569.44,186.94,77.4,165.49,94.64,5.97,37.62,63.27,74.85,100.83,17.02,2017-12-31
177,"FIG17","R70",2017,"first","boot","none","R70.2017",2,3,309,1,"BN",2017-06-08,NA,NA,969.72,436.372,44.8,3978.31,94.39,6.96,38.93,68.72,71.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2661.67,580.9,2017-12-31
178,"FIG17","R70",2017,"first","dough","none","R70.2017",2,3,310,7,"DN",2017-07-17,NA,NA,1788.06,543.306,50.6,4829.4,95.98,2.38,36.35,70.09,64.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1843.33,473.96,2017-12-31
